,files,agency_name,provision
602,114-531 H.txt,    For the Native American Institutions Endowment Fund,"    For the Native American Institutions Endowment Fund, the Committee provides ."
603,114-531 H.txt,    For Extension Activities,"    For Extension Activities, the Committee provides an appropriation of .    Rural Health and Safety Education Programs.--The opioid abuse epidemic is one of the greatest threats facing rural America today, and the Committee supports all efforts to address this problem through improved health and safety education and outreach. The Committee provides  for Rural Health and Safety Education Programs to combat opioid abuse in rural communities.    The following table reflects the amount provided by the Committee:"
604,114-531 H.txt,    For Integrated Activities,"    For Integrated Activities, the Committee provides an appropriation of .    Food and Agriculture Defense Initiative (FADI).--The Committee supports the important work being done through the diagnostic laboratory network and encourages NIFA to prioritize funding to strengthen animal health diagnostic laboratories operated and administered by Colleges of Veterinary Medicine at land grant institutions. NIFA should take into consideration the degree to which the capacity for surveillance, monitoring, response, and capacity is enhanced; the concentration of human and animal populations that are directly at risk; trade, tourism, and cultural considerations; geography, ecology, and climate; the strength of biomedical, agricultural, environmental, and public health expertise at the hosting land grant university; evidence of active collaboration with, and support of, the state department of agriculture; and evidence of stakeholder support and engagement.    The following table reflects the amount provided by the Committee."
605,114-531 H.txt,    For the Office of the Under Secretary for Marketing and Regulatory Programs,"    For the Office of the Under Secretary for Marketing and Regulatory Programs, the Committee provides an appropriation of ."
606,114-531 H.txt,    For the Animal and Plant Health Inspection Service,"    For the Animal and Plant Health Inspection Service, Salaries and Expenses, the Committee provides an appropriation of .    Included in this funding level are increases of  for Emergency Preparedness and Response;  for Zoonotic Disease Management;  for Specialty Crop Pests;  for the National Veterinary Stockpile;  for Equine, Cervid, and Small Ruminant Health; and  for Animal Health Technical Services. The Committee maintains recent increases for such functions as Avian Health; Overseas Technical and Trade Operations in order to help resolve sanitary and phytosanitary trade issues that could result in the opening of new markets and retaining and expanding existing market access for U.S. agricultural products; the National Animal Health Lab Network; the Citrus Health Response Program; and Wildlife Damage Management.    Within the amount included for Specialty Crop Pests, the Committee includes increases of  for fruit fly exclusion and detection;  for the Citrus Health Response Program;  for the glassy-winged sharpshooter; and  for the light brown apple moth. Funding for the European grapevine moth should be no less than the amount provided in fiscal year . The Committee continues to provide an additional  for citrus greening emergency response to the HLB MAC.    The following table reflects the amounts provided by the Committee:"
607,114-531 H.txt,    For Animal and Plant Health Inspection Service,"    For Animal and Plant Health Inspection Service, Buildings and Facilities, the Committee provides an appropriation of .    Facilities for Fruit Fly Eradication.--In Section , the Committee provides  for the improvement and repair of facilities and infrastructure related to the research and production of fruit fly eradication initiatives. Recent fruit fly contaminations have cost producers more than  in economic loss. The Committee directs APHIS to provide a report and consult with the Committee on plans for construction and location of the new facilities."
608,114-531 H.txt,    For Marketing Services of the Agricultural Marketing Service,"    For Marketing Services of the Agricultural Marketing Service, the Committee provides an appropriation of .The Committee notes the Department has the authority to include state organic program fees and transitional certification fees when administering the program under  U.S.C. .    Organic Integrity.--The Committee is aware that the National Organic Standards Board (NOSB) is conducting its sunset review process for reviewing substances on the National List. It is important that this process includes sound science and robust stakeholder participation. The Committee expects both the NOSB and USDA to fully consider all currently available scientific information during the sunset review and rulemaking procedures.    Organic Rulemaking.--The Committee is aware that USDA released a proposed rule on April , , titled ``National Organic Program: Organic Livestock and Poultry Practices.'' The Committee is concerned about the potential disruption to existing organic producers and their supply chains, as well as ensuring that animal health is fully protected. Before finalizing this regulation, the Committee directs USDA to conduct an additional, thorough assessment on the costs of compliance and alternatives for existing organic producers so that producers and supply chains directly impacted by the change in rules will be minimally impacted.    Research and Promotion Programs.--The Committee notes that the commodity Research and Promotion boards that the agency oversees are not agencies of the federal government, nor are Research and Promotion programs funded with federal funds. The funding used to operate and carry out the activities of the various Research and Promotion programs is provided by producers and industry stakeholders, and employees of the boards are not federal employees. Therefore, the Committee urges USDA to recognize that such boards are not subject to the provisions of  U.S.C. Section .    Rural Infrastructure.--Inadequate market access is a critical barrier to economic growth in rural and agricultural communities. The Committee provides  for the Transportation Services Division to continue working with other federal, state and local agencies, as well as producers and those involved in all sectors of agricultural transportation, to address rural infrastructure needs to ensure producers have domestic and international market access."
609,114-531 H.txt,    The Committee provides a limitation of  on Administrative Expenses of the Agricultural Marketing Service.    FUNDS FOR STRENGTHENING MARKETS,"    The Committee provides a limitation of  on Administrative Expenses of the Agricultural Marketing Service.    FUNDS FOR STRENGTHENING MARKETS, INCOME, AND SUPPLY (SECTION )"
610,114-531 H.txt,    For the Marketing Agreements and Orders Program,"    For the Marketing Agreements and Orders Program, the Committee provides a transfer from Section  funds of .    The following table reflects the status of this fund for fiscal years  and :ESTIMATED TOTAL FUNDS AVAILABLE AND BALANCE CARRIED FORWARD FISCAL YEARS"
611,114-531 H.txt,    For Payments to States and Possessions,"    For Payments to States and Possessions, the Committee provides an appropriation of ."
612,114-531 H.txt,    For the Grain Inspection,"    For the Grain Inspection, Packers and Stockyards Administration, the Committee provides ."
613,114-531 H.txt,    The Committee includes a limitation on inspection and weighing services expenses of . The Committee does not concur with the agency's proposal to eliminate the limitation on inspection and weighing services expenses. The agency has sufficient carryover balances in this account for these activities. Additionally,"    The Committee includes a limitation on inspection and weighing services expenses of . The Committee does not concur with the agency's proposal to eliminate the limitation on inspection and weighing services expenses. The agency has sufficient carryover balances in this account for these activities. Additionally, the bill includes authority to exceed by  percent the limitation on inspection and weighing services with notification to the Committees on Appropriations of the House and Senate."
614,114-531 H.txt,    For the Office of the Under Secretary for Food Safety,"    For the Office of the Under Secretary for Food Safety, the Committee provides an appropriation of ."
615,114-531 H.txt,    For the Food Safety and Inspection Service (FSIS),"    For the Food Safety and Inspection Service (FSIS), the Committee provides an appropriation of .    The following table reflects the Committee's recommendations for fiscal year :"
616,114-531 H.txt,    For the Office of the Under Secretary for Farm and Foreign Agricultural Services,"    For the Office of the Under Secretary for Farm and Foreign Agricultural Services, the Committee provides an appropriation of ."
617,114-531 H.txt,    For Salaries and Expenses of the Farm Service Agency (FSA),"    For Salaries and Expenses of the Farm Service Agency (FSA), the Committee provides an appropriation of  and transfers of  for a total program level of .    Oriental Fruit Fly.--The Committee strongly urges FSA to make funds available to those farmers who were negatively impacted by an Oriental Fruit Fly quarantine from October  through February . The farmers, who were unable to bring their crop to market, sustained devastating losses, although the quarantine was necessary and successful in eradicating the Oriental Fruit Fly pest. Because crop insurance and other similar programs do not apply in instances of a state or federally declared quarantine, the impacted farmers are in need of relief. The Committee believes it is within FSA's purview to make funds available to the impacted farmers.    FSA Farm Loan Levels.--The Committee does not agree with FSA's proposal to waive loan fees for certain groups of farmers. However, the Committee does recognize increased demand for overall loan levels and provides this relief in accordance with the President's budget request, including additional funding for Emergency Loans. In general, USDA data demonstrates that farmers are experiencing a significant decline in farm income and the cost of doing business is growing. As such, the need for larger individual loan limitations and flexibility may be increasing. The Department is directed to work with stakeholders to address these issues.    Budgetary Reductions.--FSA has submitted consecutive proposals for significant annual budget savings through ``operational efficiencies'' with little detail for achieving these goals. FSA proposed nearly  in reductions for fiscal year . An additional  in IT savings is proposed for fiscal year  through contractual savings. The Committee directs FSA to provide a report by the end of fiscal year  detailing the specific contracts and amounts FSA proposes to achieve these savings from.    Proposal to Close County Offices.--The Committee includes statutory language preventing the closure of county offices.    FSA IT.--The agreement includes statutory language that allows FSA to release funds for farm program delivery IT projects only after the submission of a spending plan to the Committees on Appropriations of the House and Senate. The roadmap submitted by FSA in fiscal year  and submission of a spend plan for review to the Government Accountability Office (GAO) in fiscal year  were the first steps toward bringing accountability and guidance to almost a decade of mismanagement of the Modernize and Innovate the Delivery of Agricultural Systems (MIDAS) IT system. MIDAS was over budget by hundreds of millions of dollars, took years longer than expected, and only delivered a fraction of the promised results. While FSA has made some improvements in reforming the program, the Committee further directs the agency to provide a report within  days of enactment of this Act on its future plans for MIDAS-specific IT functions.    Loan Deficiency Payments.--The Committee encourages the Secretary to work with producers who have already received a benefit under  U.S.C.  with respect to the  crop of a commodity prior to the availability of a benefit under  U.S.C.  as provided by amendments made by Public Law -.    Alternative Imaging Capabilities.--The Committee notes that space-based infrared and hyper-spectral satellites are ideally suited to managing and monitoring agricultural lands and waters. These commercially-available capabilities could do much toward more efficient use of agriculture resources. Accordingly, the Committee encourages the Department to examine the utility and cost of new, commercially-derived, space-based imaging data systems that can support the agriculture community, including ways that improve efficiencies within the Farm and Foreign Agricultural Services mission area.    Economic Impact of Livestock and Conservation Reserve Program (CRP).--CRP is a federal program under FSA that pays a yearly rental payment in exchange for farmers and ranchers to remove environmentally sensitive land from agricultural production. Due to increasing enrollment in CRP in certain areas, livestock operations have been reduced. In an effort to focus on the economic impact of CRP in rural communities, specifically livestock production, the Committee directs FSA to submit a report within  days of enactment of this Act. Central facets of the report should focus on () the opportunities livestock production brings to rural communities; () determine the economic impact livestock production has on rural communities (feed sales, construction/fencing costs, management practice investments that increase revenue for local businesses); () explore the tax benefits for rural school districts resulting from property taxes and cash receipts due to livestock production; and () assess the ability for nutrients to be captured and soil quality maintained by grazing livestock (similar to the CRP program)."
618,114-531 H.txt,    For State Mediation Grants,"    For State Mediation Grants, the Committee provides an appropriation of ."
619,114-531 H.txt,    For the Grassroots Source Water Protection Program,"    For the Grassroots Source Water Protection Program, the Committee provides an appropriation of ."
620,114-531 H.txt,    For the Dairy Indemnity Program,"    For the Dairy Indemnity Program, the Committee provides an appropriation of such sums as may be necessary (estimated to be  in the President's fiscal year  budget request)."
621,114-531 H.txt,    For the Agricultural Credit Insurance Fund program account,"    For the Agricultural Credit Insurance Fund program account, the Committee provides a loan level of .    The following table reflects the loan levels for the Agricultural Credit Insurance Fund program account:"
622,114-531 H.txt,    For the Risk Management Agency,"    For the Risk Management Agency, the Committee provides an appropriation of .    Standard Reinsurance Agreement (SRA) Discrepancies.--The Committee notes that stakeholders, including specialty crop insurance agents, are concerned about commissions received for their products as compared to other crops. In a manner consistent in law, the Committee encourages RMA to address this issue by working with all such stakeholders and involving them in any future negotiations of the SRA. The Committee directs RMA to provide a report to the Committee on the amount of commissions paid to crop insurance agents, broken down by state, year, and crop for fiscal years  through . The report shall also provide such information by insurance products subject to and not subject to the administrative and operating expenses limitation in the SRA and the  percent limitation on agent commissions by state.    Crop Insurance in Drought Areas.--The Committee encourages the Secretary to be flexible in administering the Federal Crop Insurance program in areas impacted by natural disasters, including in drought-affected areas."
623,114-531 H.txt,    For the Federal Crop Insurance Corporation Fund,"    For the Federal Crop Insurance Corporation Fund, the Committee provides an appropriation of such sums as may be necessary (estimated to be  in the President's fiscal year  budget request)."
624,114-531 H.txt,    For Reimbursement for Net Realized Losses to the Commodity Credit Corporation,"    For Reimbursement for Net Realized Losses to the Commodity Credit Corporation, the Committee provides such sums as may be necessary to reimburse for net realized losses sustained but not previously reimbursed (estimated to be  in the President's fiscal year  budget request)."
625,114-531 H.txt,    For Hazardous Waste Management,"    For Hazardous Waste Management, the Committee provides a limitation of ."
626,114-531 H.txt,    For the Office of the Under Secretary for Natural Resources and Environment,"    For the Office of the Under Secretary for Natural Resources and Environment, the Committee provides an appropriation of ."
627,114-531 H.txt,    For Conservation Operations,"    For Conservation Operations, the Committee provides an appropriation of .    The Committee provides  for the Snow Survey and Water Forecasting Program;  for the Plant Materials Centers; and  for the Soil Surveys Program. The Committee provides  for Conservation Technical Assistance and includes a  increase for written conservation plans and conservation program delivery. The Committee is pleased with the progress of the Conservation Effects Assessment Project and the Conservation Delivery Streamlining Initiative and directs NRCS to continue to invest in these programs.    Administrative Reorganization.--The Committee commends NRCS for its organizational realignment of administrative functions and appreciates the savings this will generate. NRCS has worked to become a more efficient, accountable organization, and the Committee encourages NRCS to work with other agencies within USDA to do the same.    Agricultural Conservation Easement Program.--Due to the unique ecological needs of each state, the Committee encourages NRCS to work with state and local partners to address these needs and to ensure the priority needs and projects in each state, such as those that are leveraged by public and private resources, are addressed.    Cheat Grass Eradication.--The Committee encourages NRCS to continue to assist farmers and ranchers to eradicate, control, and reduce the fuel loads associated with cheat grass and to collaborate with ARS, as appropriate, on research related to cheat grass.    Conservation Practice Standards.--The Committee is aware that NRCS has been pressured to modify its conservation practice standards in certain circumstances for purposes not related to the conservation of farm and ranch land. The Committee recognizes that conservation practice standards are science-based, undergo a thorough technical review, are open to the public for notice and comment, and reflect the best available knowledge on how to achieve the identified conservation and environmental objective. The Committee directs NRCS to maintain its long-standing process for developing and updating its conservation practice standards.    Floodplain Buyouts.--The Committee commends the successful efforts of NRCS with voluntary floodplain homeowner buyout projects. The Committee encourages the NRCS to continue collaborative efforts with participating towns and counties to mitigate unintended consequences resulting from buyouts, such as utility cost increases for homeowners in these regions.    Harmful Algal Blooms.--The Committee supports NRCS' ongoing work to prevent soil erosion leading to harmful algal blooms through the introduction of cover crops and encourages continued targeting of watersheds where harmful algal blooms pose a threat.    Herbicide Resistance.--The Committee reminds NRCS of the challenges many producers are facing due to the spread of herbicide-resistant weeds and encourages it to ensure agency staff, partners, and producers are aware of conservation practice standards, conservation activity plans to address herbicide-resistant weeds, and financial assistance available through conservation programs to assist producers in their efforts to control these weeds.    Irrigation Agriculture.--The Committee recognizes the importance of irrigation agriculture and commends efforts to expand irrigation systems in states and regions that have not previously irrigated. The Committee directs NRCS to study the benefits of waiving irrigation history requirements within the Environmental Quality Inventive Program (EQIP) as it has under the Regional Conservation Partnership Program (RCPP) and to submit a report within  days of enactment of this Act on actions it can take to prevent unnecessary barriers to states that would otherwise have access to funds for irrigation systems.    Locally Led Conservation.--The Committee recognizes that locally led conservation is the foundation of the Nation's highly successful legacy of conservation and encourages NRCS to work with state, tribal, local, and other partners on voluntary stewardship projects that preserve working agricultural lands while protecting watersheds and wildlife habitat.    Milkweed.--The Committee is concerned about the rapid decline in milkweed for monarch butterfly habitat. The Committee encourages NRCS consider the increased benefits of restoring milkweed for monarch habitat in fiscal year .    National Marine Sanctuaries.--The Committee urges the agency to continue the collaborative agreement with the Office of National Marine Sanctuaries to address sources of agricultural runoff, such as sediments, nitrates, and pesticides.    Resource Conservation and Development Councils (RC&Ds).--The Committee recognizes RC&Ds have been valuable partners in conservation and encourages NRCS to continue working with local councils, as appropriate, to ensure conservation programs meet local resource needs.    Regional Conservation Partnership Program.--The Committee commends NRCS for the success of RCPP, through which NRCS provides assistance to producers through partnership agreements, program contracts, or easement agreements. These programs allow for diverse and innovative conservation projects which leverage both public and private funding. The Committee encourages NRCS to consider the needs of organic farmers, who implement a wide variety of creative methods to improve water quality and enhance the environment, while implementing RCPP.    Sage Grouse Initiative.--The Committee supports NRCS' sage grouse conservation efforts. Through the initiative, NRCS provides technical and financial assistance to help landowners conserve sage grouse habitat on their land. The initiative is an integral part of efforts by federal agencies, several western states, and private landowners to help preclude the listing of the sage grouse as an endangered species.    Water Use Efficiency.--The Committee is encouraged by the work being undertaken by the Bureau of Reclamation and NRCS under the California Bay-Delta Program Water Use Efficiency Grants Program, which coordinates the water use efficiency assistance authorized under the Secure Water Act. The Committee directs NRCS to work with Reclamation to identify and implement ways within existing authorities to extend the benefits of this collaborative effort."
628,114-531 H.txt,    For the Watershed Rehabilitation Program,"    For the Watershed Rehabilitation Program, the Committee provides an appropriation of ."
629,114-531 H.txt,    For the Office of the Under Secretary for Rural Development,"    For the Office of the Under Secretary for Rural Development, the Committee provides an appropriation of .    Resource Conservation and Development Councils.--The Committee recognizes that RC&Ds have been valuable partners in rural economic development and encourages RD to continue working with local councils, as appropriate, to address local economic development needs.    Reporting Requirements.--The Committee reminds RD that any action that relocates an office or employees and reorganizes offices, programs, or activities must be reported to the Committees on Appropriations of the House and Senate as required by law.    StrikeForce Initiative.--The Committee appreciates the Department's efforts to target assistance to at-risk communities through the StrikeForce Initiative for Rural Growth and Opportunity. USDA, in collaboration with public and private partners, helps rural counties experiencing chronic poverty improve economic opportunities and quality of life for local residents. The Committee encourages USDA to place special emphasis on persistent poverty counties and continue to utilize a strategy of partnering public resources with local expertise to grow rural economies and create jobs in these poverty-stricken areas.    Persistent Poverty Areas.--The bill directs certain RD programs, including the Section  Single Family Housing Direct Loan Program, Mutual and Self-Help Housing Grants, Rural Community Facilities Program, Rural Business Program Account, Rural Cooperative Developments Grants, Rural Water and Waste Disposal Program, Rural Electrification and Telecommunications Loans Program, and the Distance Learning, Telemedicine, and Broadband Program, to provide at least  percent of the amounts provided to persistent poverty counties, defined as those areas that have  percent of their population living in poverty over the past  years."
630,114-531 H.txt,    For Salaries and Expenses of the Rural Development mission area,"    For Salaries and Expenses of the Rural Development mission area, the Committee provides an appropriation of ."
631,114-531 H.txt,    For the Rural Housing Insurance Fund program account,"    For the Rural Housing Insurance Fund program account, the Committee provides a loan level of .    Section  Intermediary Pilot Program.--The bill directs the Secretary to continue and expand the pilot program for packaging section  direct loans. The pilot requires not less than ten non-profit organizations to prepare and review applications for single family loans, saving federal funds and staff time. The Committee expects the Rural Housing Service to expeditiously implement this program.    Section  Loan Program.--The Farm Labor Housing program (Section ) has been successful in assisting in the development of farm housing. The program presently only permits housing of certain farm workers and has not taken into consideration changes in the agricultural labor market. As a result, farmers are restricted on who can use the housing built with these funds to house the workers they need to prune and harvest their crops. USDA is directed to report to the Committees on Appropriations of the House and Senate within  days of enactment of this Act regarding the feasibility and impacts of amending the program to expand the list of eligible tenants permitted to live in existing housing.    Rural Definition.--Communities need transparency and deserve to understand the criteria that are evaluated when determining eligibility for RHS programs. The Committee directs RHS to submit a report listing the criteria used to define ``rural in character'' in determining program eligibility.    The following table reflects the loan levels for the Rural Housing Insurance Fund program account:"
632,114-531 H.txt,    For the Rental Assistance Program,"    For the Rental Assistance Program, the Committee provides a program level of ."
633,114-531 H.txt,    For Mutual and Self-Help Housing Grants,"    For Mutual and Self-Help Housing Grants, the Committee provides an appropriation of ."
634,114-531 H.txt,    For the Rural Housing Assistance Grants program,"    For the Rural Housing Assistance Grants program, the Committee provides an appropriation of  including  for rural housing preservation grants."
635,114-531 H.txt,    For the Rural Community Facilities Program Account,"    For the Rural Community Facilities Program Account, the Committee provides an appropriation of .    Power Plus.--In conjunction with the Administration's POWER+ initiative and Partnerships for Opportunity and Workforce and Economic Revitalization, the Committee encourages USDA to give consideration to Community Facility investments in coal communities that have been negatively impacted by changes in the coal industry and power sector.    The following table provides the Committee's recommendations as compared to the budget request:"
636,114-531 H.txt,    For the Rural Business Program Account,"    For the Rural Business Program Account, the Committee provides an appropriation of .    The following table provides the Committee's recommendations as compared to the budget request:"
637,114-531 H.txt,    For the Intermediary Relending Program Fund Account,"    For the Intermediary Relending Program Fund Account, the Committee provides for a loan level of .    For the loan subsidy, the Committee provides an appropriation of . In addition, the Committee provides  for administrative expenses."
638,114-531 H.txt,    For the Rural Economic Development Loans Program Account,"    For the Rural Economic Development Loans Program Account, the Committee provides for a loan level of .    Review and Selection Process.--The Committee recognizes demand for the Rural Economic Development Loan and Grant Program remains high. The Committee encourages the Rural Business-Cooperative Service to award funds on a first-come first-serve basis, after taking all other eligibility requirements into account, and not the prioritization system utilized in fiscal year . The Committee supports utilizing a first-come first-serve award system as the most expeditious means to award funds to eligible projects."
639,114-531 H.txt,    For Rural Cooperative Development Grants,"    For Rural Cooperative Development Grants, the Committee provides an appropriation of .    The total includes  for a cooperative agreement for the Appropriate Technology Transfer for Rural Areas program and  for the value-added agricultural product market development grant program.    The Committee notes that the  farm bill provided mandatory funding for value-added agricultural product market development grants."
640,114-531 H.txt,    For the Rural Energy for America Program,"    For the Rural Energy for America Program, the Committee provides a loan level of  and an appropriation of  for the loan subsidy to make loans as authorized by section  of the Farm Security and Rural Investment Act of  ( U.S.C. ).    The Committee notes that the  farm bill provides mandatory funding for this program in fiscal year ."
641,114-531 H.txt,    For the Rural Water and Waste Disposal Program Account,"    For the Rural Water and Waste Disposal Program Account, the Committee provides an appropriation of .    Water Supplies for Very Small Communities.--The Committee is aware of concerns that Rural Utilities Service (RUS) grant programs do not adequately help small, disadvantaged, and severely disadvantaged communities access the funding and expertise necessary to develop sustainable water supplies or otherwise improve their wastewater systems, and it directs the agency to focus its efforts to assist these communities with predevelopment planning to help them address their water supply needs.    Carryover Balances for AK, HI, and Colonias Grants.--The Committee is aware of significant carryover balances of unobligated funds provided in prior year appropriations for Water and Waste Disposal grants for Alaskan villages, Native American Tribes, Hawaiian Homelands, and the Colonias. The Committee urges the Department to work with state, local and tribal organization stakeholders to provide assistance via water and waste disposal grant programs as long as such assistance was requested by the respective groups in the year in which the funds were appropriated. The Department has flexibility to shift these prior year funds among the four areas through a reprogramming of funds. Further, the Committee provides flexibility in fiscal year  to move funds to other water and waste disposal priorities in order to reduce the backlog of related needs nationwide.    Open and Free Competition Policy.--The Committee supports the Department's underlying adherence to free and open competition on water and waste projects as contained in  CFR .(b) and (d). The Committee supports efforts to eliminate arbitrary actions in the procurement process but is concerned that the Department is undermining the ability of local communities and the engineer of record to design water and wastewater projects in the manner that best serves the unique needs and considerations of local communities. In particular, the Committee is concerned about the May ,  memorandum and the implementation of pipe materials. The Committee believes that the Department must apply its policy uniformly to all building materials but is concerned with the Department requirements that would unnecessarily delay projects by including onerous approval processes. Communities and professional engineers are different and specify the pipe materials that best suit the needs of their community and project. These communities and engineers, therefore make different determinations depending on what is suited for a given community, including the existence of applicable federal, state, or local ordinances or standard specifications. The Committee encourages the Department to defer to the engineer of record in the selection of materials that meet nationally recognized standards, including pipe, absent extraordinary circumstances demonstrating arbitrary action.    Domestic Preference.--The bill includes language specifying that funds made available for RUS' Rural Water and Waste Disposal program account shall use iron and steel products produced in the United States. RUS shall apply the Environmental Protection Agency's definition of public water systems while implementing the domestic preference provision.    The following table provides the Committee's recommendations as compared to the budget request:"
642,114-531 H.txt,    For the Rural Electrification and Telecommunications Loans Program Account,"    For the Rural Electrification and Telecommunications Loans Program Account, the Committee provides a loan level of . In addition, the Committee provides  for administrative expenses.    The following table reflects the loan levels for the Rural Electrification and Telecommunications Loans Program Account:"
643,114-531 H.txt,    For the Distance Learning,"    For the Distance Learning, Telemedicine, and Broadband Program, the Committee provides an appropriation of  which includes  for distance learning and telemedicine grants.    Broadband Loan and Grant Program Priorities.--The Committee recognizes the advantages of extending broadband services, including the economic development opportunities and improved health care services that broadband technology provides. Funding provided for the broadband programs is intended to promote availability in those areas where there is not otherwise a business case for private investment in a broadband network. The Committee directs RUS to focus expenditures on projects that bring broadband service to underserved households and areas.    Tribal Communities.--The Committee notes that tribal communities continue to struggle with gaining access to broadband service. The Committee encourages the Secretary to provide a report that identifies the specific challenges Indian Tribal Organizations (ITOs) have in gaining access to broadband service and provide a plan for addressing these challenges, including how the Community Connect program can assist ITOs."
644,114-531 H.txt,    For the Office of the Under Secretary for Food,"    For the Office of the Under Secretary for Food, Nutrition, and Consumer Services, the Committee provides an appropriation of .    Communication from FNS.--The Committee recognizes the efforts made to increase communication and reduce delays by FNS in completing requested reports. Reports requested by the Committees on Appropriations of the House and Senate, as well as information regarding FNS programs, are an important part of the Committees' oversight responsibilities. The directives and issues that are specified in the House, Senate, or conference report are very important to the Committee and the dates specified are mandatory. FNS is expected to keep the Committee apprised of activities and issues, especially those mentioned in Committee reports. FNS is reminded that the Committee reserves the right to call before it any agency that does not submit reports on time.    Public Release of Information.--The Committee directs FNS to continue making all policy documents related to the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) program (including, but not limited to, instructions, memoranda, guidance, and questions and answers) available to the public on the Internet within one week of their release to WIC state administrators.    Program Eligibility.--The Committee directs FNS to work with states to ensure full compliance with the law mandating that every WIC and SNAP participant meet all program eligibility requirements. FNS is also directed to ensure these programs are not being promoted to ineligible individuals, which would increase program costs.    Fruit and Vegetable Consumption.--The Committee continues to urge FNS to recognize in relevant agency publications and regulations related to all federal nutrition programs, including nutrition education programs and child nutrition programs, the nutritional benefits provided by all forms of fruits, vegetables, and beans, whether canned, dried, fresh, or frozen."
645,114-531 H.txt,    For the Child Nutrition Programs,"    For the Child Nutrition Programs, the Committee provides .    School Meals.--The Committee remains concerned about the challenges and costs that local schools face in implementing the various regulations from the Healthy, Hunger-Free Kids Act of . Some schools are continuing to have difficulty complying with the whole grain requirements that went into effect on July , , and schools are increasingly concerned with further reductions in the sodium requirements. In order to provide schools with the certainty and flexibility they need for the - school year, the Committee continues to extend the whole grain waiver provision to those school food authorities demonstrating a hardship in implementing the whole grain standards.    The Committee also continues a provision stating that sodium standards cannot be reduced below Target  until the latest scientific research establishes that the reduction is beneficial for children. According to information provided by USDA, the overwhelming majority of research that has been reviewed on this issue was conducted more than  years ago, with most research conducted in the s and s. The Committee notes that the requirement that the latest scientific research prove that further sodium reductions are beneficial for children has not been met.    As schools seek to implement the school meal standards, the Committee encourages USDA to consider ways to assist schools with technical assistance and training, including the services of not-for-profit culinary institutions, to provide healthy, cost-effective foods that students will eat.    Improper Payments.--The Committee remains concerned about the staggering error rates for the National School Lunch Program (NSLP) and School Breakfast Program (SBP), which were about  percent and  percent, respectively, in fiscal year . This amounts to  in improper payments for NSLP and  for SBP. While the error rate for SBP had a small decrease, there was a slight increase in the error rate for NSLP. OIG completed an audit report in May of  that evaluated how FNS is attempting to lower the error rates, and the Committee acknowledges FNS is working to address this issue. The fiscal year  explanatory statement directed FNS to provide a report addressing OIG's recommendations. The Committee expects this report by June , .    Potable Water.--The Committee is aware of the statutory requirement that schools and child care centers make potable water available to children free of charge during meal times in the place where meals are served. The Committee directs USDA to provide a report on the actions that have been taken to ensure that potable water is being provided in schools and child care centers.    Technology Use in School Meal Programs.--The Committee supports increased use of technology as a strategy to combat waste, fraud and abuse in the school meal programs and urges USDA to continue to allow local control in the selection of technology platforms. The Committee directs USDA to clearly communicate to recipients of any funding that can be used for technology infrastructure in or for the support of school meal programs that the funds are intended to establish state systems that are capable of interoperability or interface with the technology platforms selected by school districts.    The following table reflects the Committee recommendations for the child nutrition programs:"
